IP	Spela Electronic Arts actionfyllda sporttitlar med flera PSP-spel. Ge dig ut på plan med fotbollsmästaren Lionel Messi i FIFA 14, eller dominera på VM i FIFA World Cup South Africa. Gasa fram på gatorna i det dundrande Need for Speed Shift och storma stranden i Medal of Honor Heroes 2 – du bestämmer hur och när du spelar.    
IN	Great Yarmouth Great Yarmouth, ofta kallat Yarmouth, är en kuststad i Norfolk i England. Den är huvudort i distriktet med samma namn. Great Yarmouth har 47 288 invånare (2002). Staden ligger vid mynningen av floden Yare, drygt 30 km öster om Norwich. Den har varit en badort sedan 1760, och är Norfolk Broads öppning mot havet. Under flera hundra år har den varit en hamn för sillfiske, och idag är den en serviceort för naturgasplattformar till havs. Redan före den normandiska erövringen av England hade Great Yarmouth 70 borgare, och Johan utan land gav staden omfattande privilegier. Trots flygbombningar under första och andra världskrigen finns många gamla byggnader bevarade.    
IN	ETCS (European Train Control System) är en europeisk standard för ATP (Automatic Train Protection) som tillsammans med GSM-R (GSM for Railways) utgör ERTMS (European Rail Traffic Management System). För utförligare beskrivning se ERTMS. ETCS huvudkomponenter är eurobaliser, radioblockcentral (RBC) samt omborddator. Omborddatorns grundfunktion är att baserat på data som översänts från marksystemet (eurobaliserna och / eller RBC) säkerställa att nuvarande och kommande hastighetsrestriktioner efterlevs, samt att passage av signaler med stoppbesked ej kan ske. I de fall då föraren ej respekterar gällande hastighetsbegränsningar eller ej påbörjar inbromsning i tid för att reducera farten till kommande hastighetsbegränsningar griper omborddatorn in med broms. ETCS ger även full hyttsignalering, dvs all för tågföraren nödvändig information presenteras på en dataskärm ombord. ETCS medger 500 km/h och anses ha ett bättre gränssnitt system - förare med en grafisk bild av vad som gäller framåt i spåret. Nivåer[redigera | redigera wikitext] ETCS delas in i fem olika operationella nivåer. Vilken som gäller beror på banans utrustning. Tåg med ERTMS installerat kan trafikera alla nivåer, dock vid nivå STM bara om just det äldre signalsystemet stöds av tågets utrustning. ETCS Nivå 0[redigera | redigera wikitext] Nivå 0 används på banor som saknar markutrustning för ETCS. Omborddatorn övervakar endast en fix hastighetsbegränsning. Säkerheten bygger på manuell hantering och ljussignaler enligt äldre system som föraren observerar. Sådana system kan i Sverige vara spärrfärd och system M. ETCS Nivå 1[redigera | redigera wikitext] I Nivå 1 sänds all nödvändig information till omborddatorn med hjälp av styrbara eurobaliser. Eurobaliserna får information om tillåten hastighet från ställverket. Parallellt finns de optiska signalerna kvar, som ger en förenklad bild av tillåtna hastigheter. Nivå 1 har funktioner som motsvarar det svenska ATC-systemet. Planeras att användas endast inom högtrafikerade områden, där det kan finnas för många tåg för att passa GSM-R. ETCS Nivå 2[redigera | redigera wikitext] I Nivå 2 används endast statiskt kodade eurobaliser. Variabel information sänds till tåget via radio (GSM-R) från en radioblockcentral. Den tillåtna hastigheten baseras på den hinderfrihet som spårledningar ger. Detta medför att optiska signaler ej längre behövs samt i viss mån ett effektivare trafikflöde eftersom omborddatorn kan få kontinuerliga uppdateringar över radio. ETCS Nivå 2 infördes på Botniabanan som första linje i Sverige och är billigare än nivå 1. Planeras att användas på alla huvudlinjer. ETCS Nivå 3[redigera | redigera wikitext] ETCS Nivå STM[redigera | redigera wikitext] Nivå STM avser banor med äldre system (I Sverige ATC-2) som trafikeras av ERTMS-tåg. Här är loket utrustat med utrustning för ETCS samt en så kallad STM (Specific Transmission Module) vilket medger trafik både på sträckor med ETCS och på sträckor med äldre signalsystem. Eftersom övergången till ETCS kommer att ta ett antal år kan man räkna med att denna variant blir vanligt förekommande i tåg som körs i Sverige under ganska många år. Tåg som ska trafikera flera äldre system måste ha flera STM. Övergångar mellan de fem ovan nämnda nivåerna kan med rätt utrustning ske i full hastighet. Externa länkar[redigera | redigera wikitext]    
IN	Libyen styrdes länge av diktatorn Muammar Gaddafi. Han störtades och dödades år 2011 efter det krig som utlöstes av den arabiska våren. Sedan dess har Libyen varit mycket instabilt. Sedan valet 2014 gör två olika regeringar anspråk på makten. Ingen av dem har dock kunnat etablera full kontroll över landet och beväpnade miliser kontrollerar många städer. Libyen blev självständigt 1952, efter att ha varit en italiensk koloni. 1969 tog den då 27-årige militären Muammar Gaddafi kontroll genom en statskupp. Han förvandlade Libyen till ett land som visserligen var rikt på olja, men som samtidigt var en brutal diktatur där opposition inte tilläts. Gaddafis irrationella beteende och stöd till terrorism runt om i världen gjorde honom isolerad på världsarenan och impopulär både på hemmaplan och internationellt. När den arabiska våren svepte igenom Nordafrika och Mellanöstern 2011 påverkades även Libyen. Demonstrationer utbröt i många delar av landet, vilka bemöttes med grovt våld från regeringens sida. Demonstranter sköts brutalt ned av säkerhetsstyrkor och beväpnade fångar som släppts lösa. Denna hårdföra behandling ledde till att flera rebellgrupper skapades landet runt. Med hjälp från NATO, som bistod med flygstridskrafter, störtades och dödades Muammar Gaddafi i oktober 2011 efter ett ganska kort men blodigt inbördeskrig. Trots att demokratiska val hölls efter Gaddafis fall så fortsätter Libyen att vara präglat av våldsamma politiska strider. Landet är djupt politiskt splittrat, då etniska, regionala och religiösa grupper strävar efter makten. Efter valet i juni 2014 gjorde två rivaliserande regeringar, en i huvudstaden Tripoli och en i staden Tobruk, anspråk på makten i Libyen. Under första halvan av 2015 fick FN igång förhandlingar mellan de två rivaliserande regeringarna. Samtalen ledde till ett avtal i december 2015 och en ny regering som består av delar av de rivaliserande regeringarna kom på plats i Tripoli i början av 2016. Den nya regeringen har dock fortfarande inte fått stöd av de viktigaste ledarna och miliserna i de rivaliserande regeringarna. Intensiva strider pågår mellan olika grupper i framförallt norra delen av Libyen. En alltmer framträdande grupp i striderna är den Islamiska Staten (IS) som etablerade sig i Libyen under 2015.    
NA	Jag är upprymd och exalterad. Som ett barn på julafton. Jag ska se dinosaurier idag! Som vi har väntat, sonen och jag. Ja mest sonen då, men i stundens hetta går jag också igång. Hm, vilken outfit lämpar sig bäst för möte med urtidsdjur? Svart fast med hatt till tycker jag. Imorgon ska de mina gå ;-) Ska ni till Globen alltså? Kan du med stövletterna dit så kommer jag?! Närdå? Alltså, jag tycker det känns som om man skulle vilja ha med sig något vapen, liksom... känns lite farligt. Kanske åtminstone en stilettklack? Annars gillar jag Indiana Jones-looken. :P ffp: det var så cool! :D malin: sorry, redan hemma! sexy lexy: ehm ja indiana jones är fin... ja menar han har cool outfit! :*) Jag insåg det sedan. Hörs imorron. malin: ok!    
IP	KUBBIS & Co. Här har vi skapat en extra arbetsyta i köket med en marmorskiva på UTBY underrede i rostfritt stål. På KUBBIS hänger köksredskapen nära tillhands. Dekorativ förvaring som skapar en härlig arbetsköks-atmosfär. Välj rejäla redskap i rostfritt och naturmaterial så får du en genuin känsla. Snygga produkter som gör att köksstöket känns inbjudande charmigt snarare än rörigt. På KUBBIS stabila krokar hänger vi allt ifrån rejäla grytor till den vackra SINNERLIG bringaren i keramik som blir ett fint blickfång över arbetsbänken. Pella Hedeby, Livet Hemma-redaktionen Nyhet! KUBBIS hängare med 7 krokar, 129 kr, Nyhet! Stilrena GRYTOR IKEA 365+ gryt/kastrullset 649 kr/3 kastruller med lock, IDEALISK mjölsikt 29 kr, Nyhet! SINNERLIG bringare 79 kr, Nyhet! RIMFORSA skärbräda 99 kr, ENSIDIG vas 29 kr fungerar som mjölkkanna, glasburk med lock KORKEN 19 kr, vit skål FÄRGRIK 12 kr, Nyhet! SINNERLIG kruka 49 kr förvarar vispar och slevar. Träredskap RÖRT 19 kr/st, IDEALISK visp 15 kr/set om 2. Nyhet! Grytorna ur serien IKEA 365+ har rejäla handtag som fungerar väl för upphängning på kroklisten. Skärbrädan PROPPMÄTT 29 kr, är upphängd i ett grovt jutesnöre för att bibehålla den naturliga looken. UTBY underrede i rostfritt stål, 1000 kr, blir ett snyggt arbetsbord, här försedd med en måttbeställd marmorskiva. Nyhet! IKEA 365+ kökshandduk+ 49 kr/2 st, svart BEKVÄM trappstege 399 kr.    
IP	Pieces är experter både på den perfekta basen och på att ge dig detaljerna som höjer outfiten det där extra snäppet. Här hittar du bland annat to die for-väskor och smycken. Pieces grundades 2013, med målet att erbjuda prisvärda detaljer för en riktigt grym outfit. Här hittar du bland annat Pieces kläder och Pieces underkläder som är en perfekt bas i varje fashionistas garderob. Behöver du en ny, riktigt snygg väska, ett snyggt bälte eller ett fantastiskt halsband till festen är det också hos Pieces du ska leta. Pieces satsar på att ta fram accessoarer med fingertoppskänsla för detaljer. Här får du en exklusiv och trendig feeling för att du ska kunna skapa din helt egna och personliga look och se ut som a million dollars utan att behöva tömma plånboken. Varje medveten fashionista vet att det är detaljerna som gör hela outfiten. Pieces är experter på just detta. Din nya jacka blir helt enkelt fulländad med en Pieces sjal. Små medel gör också mycket. I sortimentet av Pieces smycken hittar du därför de där nätta, personliga armbanden, ringarna och halsbanden, alla skapade med känsla för trender och för att du ska kunna uppfylla dina #fashiongoals. Du kan också shoppa loss bland fantastiska smycken som lyfter vilken partyblåsa som helst. Sätt på dig något av Pieces halsband och lyft din LDB (little black dress) till nya höjder. Oavsett vad du vill uppnå med din outfit hittar du rätt accessoarer hos Pieces. Pieces har gjort sig kända för att erbjuda rätt detaljer till rätt tillfälle. Oavsett om du vill ha ett enkelt smycke som lyfter jeansoutfiten, en statement piece till partyblåsan eller en ny, snygg vardagsväska hittar du det här. Pieces väskor finns i många olika modeller. Med sin exklusiva look ger de dig en känsla av designerväska. Basplaggens basplagg måste ju ändå vara jeans? Hos Pieces hittar du snygga och bekväma Pieces jeans som kompletterar din outfit perfekt. Kombinera dem med ett par klackar från Pieces och fixa partyoutfiten på nolltid, eller bär dem med snygga sneakers och en axelremsväska för en snyggt casual look. Nelly.com erbjuder ett stort sortiment av accessoarer från Pieces. Här hittar du drömväskan, grymma örhängen och mycket mer, allt som lyfter outfiten helt enkelt. Med Pieces rabattkod shoppar du dessutom smart. Vi ger dig fri frakt för alla köp över 199 kronor. Skulle något bli fel är det dessutom smidigt att returnera. Vi är störst i Norden inom fashion, något du kommer märka när du botaniserar i vårt stora sortiment. Pieces är experter både på den perfekta basen och på att ge dig detaljerna som höjer outfiten det där extra snäppet. Här hittar du bland annat to die for-väskor och smycken. Pieces grundades 2013, med målet att erbjuda prisvärda detaljer för en riktigt grym outfit. Här hittar du bland annat Pieces kläder och Pieces underkläder som är en perfekt bas i varje fashionistas garderob. Behöver du en ny, riktigt snygg väska, ett snyggt bälte eller ett fantastiskt halsband till festen är det också hos Pieces du ska leta. Pieces satsar på att ta fram accessoarer med fingertoppskänsla för detaljer. Här får du en exklusiv och trendig feeling för att du ska kunna skapa din helt egna och personliga look och se ut som a million dollars utan att behöva tömma plånboken. Varje medveten fashionista vet att det är detaljerna som gör hela outfiten. Pieces är experter på just detta. Din nya jacka blir helt enkelt fulländad med en Pieces sjal. Små medel gör också mycket. I sortimentet av Pieces smycken hittar du därför de där nätta, personliga armbanden, ringarna och halsbanden, alla skapade med känsla för trender och för att du ska kunna uppfylla dina #fashiongoals. Du kan också shoppa loss bland fantastiska smycken som lyfter vilken partyblåsa som helst. Sätt på dig något av Pieces halsband och lyft din LDB (little black dress) till nya höjder. Oavsett vad du vill uppnå med din outfit hittar du rätt accessoarer hos Pieces. Pieces har gjort sig kända för att erbjuda rätt detaljer till rätt tillfälle. Oavsett om du vill ha ett enkelt smycke som lyfter jeansoutfiten, en statement piece till partyblåsan eller en ny, snygg vardagsväska hittar du det här. Pieces väskor finns i många olika modeller. Med sin exklusiva look ger de dig en känsla av designerväska. Basplaggens basplagg måste ju ändå vara jeans? Hos Pieces hittar du snygga och bekväma Pieces jeans som kompletterar din outfit perfekt. Kombinera dem med ett par klackar från Pieces och fixa partyoutfiten på nolltid, eller bär dem med snygga sneakers och en axelremsväska för en snyggt casual look. Nelly.com erbjuder ett stort sortiment av accessoarer från Pieces. Här hittar du drömväskan, grymma örhängen och mycket mer, allt som lyfter outfiten helt enkelt. Med Pieces rabattkod shoppar du dessutom smart. Vi ger dig fri frakt för alla köp över 199 kronor. Skulle något bli fel är det dessutom smidigt att returnera. Vi är störst i Norden inom fashion, något du kommer märka när du botaniserar i vårt stora sortiment.    
IP	Gotland Jordklotet är rikt på resurser, Gotland en gynnad plats med fantastiska förutsättningar för ett solidariskt, rättvist och hållbart samhällsbygge. Anpassar vi oss efter naturens villkor så kan vi njuta av alla de ekosystemtjänster som lägger grunden för ett värdigt liv och för en blomstrande ekonomi. Klimatet. Klimatförändringarna är ett tydligt symptom på en hållbarhetskris som hotar våra barn och barnbarn. Den nödvändiga omställningen har bara börjat och det är bråttom. Frågan är global men omställningen måste ske lokalt. Gotland har fantastiska förutsättningar att leda den utvecklingen. Vatten. Vi behöver säkra tillgången på sötvatten av god kvalité och tillräcklig kvantitet för människor, djur, företag, naturen och för att ekosystemen på vår ö ska fungera. De pågående klimatförändringarna förutspås ge Gotland längre perioder av torka, men också mer nederbörd under höst och vinter. Energi. En omställning till 100 procent förnyelsebar energiförsörjning på Gotland är nödvändig och möjlig. Nödvändig på grund av klimathotet, för att minska känsligheten mot kommande oljeprisstegringar och för att säkerställa en trygg energitillförsel i framtiden. Möjlig genom Gotlands goda förutsättningar med ett bra vindläge, många soltimmar och ett aktivt jordbruk. Kalkbrytning. För att värna vattnet måste vi välja bort det som hotar vattenförsörjningen och vattenkvaliteten. Det innebär att storskalig kalkbrytning i vår sprickiga berggrund är för riskabelt för att tillåtas i fler områden.    
IP	SVT-chef svarar på Fredrik Virtanens kritik: ”Strider både mot mina och SVTs principer och värderingar” I måndags skrev Nöjesbladets krönikör Fredrik Virtanen om Gina Dirawis rekommendation av en antisemitisk bok och menade att SVT inte tagit avstånd tillräckligt tydligt. Här svarar SVT:s Petter Bragée: ”Jag tycker att det är extremt viktigt att ta frågor om hågkommelsen av Förintelsen och om antisemitism på största möjliga allvar. Och om jag hade påstått att "Dirawis rekommendation av en bok som ifrågasätter Förintelsen inte strider mot SVTs principer och demokratiska värderingar” så hade det varit vanvett som du skriver. Jag vill vara tydlig – att rekommendera en bok som ifrågasätter Förintelsen strider både mot mina och SVTs principer och värderingar. Alla, särskilt programledare i SVT, har ett stort ansvar för vad de publicerar i sociala medier, och jag har ett ansvar att vara tydlig. Men det försvåras när ett lösryckt citat ställs mot ett tillspetsat påstående. När jag gjorde mitt uttalande (som var längre och som också innehöll kritik av Gina) var det i ett läge då Gina tagit bort bilden och kommit med sin förklaring och ursäkt. Mitt uttalande var menat att markera att Gina driver sin blogg själv, att den inte är sanktionerad på förhand av SVT, utan att vi reagerar just när något strider mot våra principer och värderingar, och att vi nu var mitt i en sådan reaktion. Uttalandet var dock onödigt generellt och kunde uppenbarligen missförstås ryckt ur sitt sammanhang. Senare samma dag, efter att vi på SVT kallat in Gina för allvarliga samtal och fått reda på fler detaljer om boken i fråga lade SVT ut ett komplett ställningstagande på SVT Debatt. http://debatt.svt.se/2012/11/23/gina-dirawi-var-tanklos-men-hon-ar-inte-antisemit/ Jag står bakom detta fullt ut.” Petter Bragée, programchef för Musikhjälpen SVT Malmö    
NA	» 13 studentambassadörer från 7 olika universitet 13 studentambassadörer från 7 olika universitet Anna Lundmark Microsoft och HP påbörjade i höstas sin jakt på studenter som ville bli studentambassadörer, Student Brand Managers. Denna vecka var 13 utvalda studenter, från 7 högskolor från norr till söder, på plats i Stockholm för en utbildning i två dagar. Studentambassadörerna blir representanter för Microsoft och HP på sitt universitet eller sin högskola och kommer bland annat att driva lokala studentevenemang. Som studentambassadör får man en speciell inblick i hur det är att jobba på Microsoft eller HP vilket också innebär en möjlighet att bygga upp nätverk som kan komma till nytta när de sedan ska ut i arbetslivet. Studenter är viktiga för oss på Microsoft, dels som potentiell arbetsplats och dels för att vi vill veta hur studenter använder våra produkter idag samt hur de vill att framtidens teknik ska fungera. Våra studentambassadörer kommer från Stockholms universitet, Kungliga Tekniska Högskolan, Umeå universitet, Linköpings universitet, Lunds universitet, Göteborgs universitet och Chalmers tekniska högskola. Metro Teknik, HP och Teknikfreak har skrivit.    
